player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3054,Fernando Luiz Rosa,Fernandinho,25,"{'id': 31, 'name': 'Brazil'}",36,Manchester City
3057,Jonjo Shelvey,,8,"{'id': 68, 'name': 'England'}",26,Swansea City
3058,Javier Hernández Balcázar,,14,"{'id': 147, 'name': 'Mexico'}",39,Manchester United
3062,Aaron Cresswell,,3,"{'id': 68, 'name': 'England'}",40,West Ham United
3063,Danilo Luiz da Silva,Danilo,23,"{'id': 31, 'name': 'Brazil'}",220,Real Madrid
3064,David Josué Jiménez Silva,David Silva,21,"{'id': 214, 'name': 'Spain'}",36,Manchester City
3065,Paul Dummett,,3,"{'id': 249, 'name': 'Wales'}",37,Newcastle United
3066,Kyle Walker-Peters,,16,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3067,Ederson Santana de Moraes,Ederson Moraes,23,"{'id': 31, 'name': 'Brazil'}",781,Brazil
3070,Florent Mollet,,25,"{'id': 78, 'name': 'France'}",139,Montpellier
3071,Pierrick Capelle,,15,"{'id': 78, 'name': 'France'}",145,Angers
3075,Javier Manquillo Gaitán,Javi Manquillo,2,"{'id': 214, 'name': 'Spain'}",147,Olympique de Marseille
3076,Ayoze Pérez Gutiérrez,Ayoze Pérez,17,"{'id': 214, 'name': 'Spain'}",37,Newcastle United
3077,Jan Vertonghen,,5,"{'id': 22, 'name': 'Belgium'}",38,Tottenham Hotspur
3078,Abdoul Razzagui Camara,Abdoul Camara,9,"{'id': 95, 'name': 'Guinea'}",145,Angers
3080,Thomas Didillon,,30,"{'id': 78, 'name': 'France'}",129,AS Monaco
3081,Jamaal Lascelles,,15,"{'id': 68, 'name': 'England'}",37,Newcastle United
3082,Harry Winks,,8,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3083,Heung-Min Son,Son Heung-Min,7,"{'id': 121, 'name': 'Korea\xa0(South)'}",38,Tottenham Hotspur
3084,Christian Atsu Twasam,Christian Atsu,11,"{'id': 86, 'name': 'Ghana'}",223,Málaga
3085,Glenn Murray,,27,"{'id': 68, 'name': 'England'}",28,AFC Bournemouth
3086,Ben Davies,,33,"{'id': 249, 'name': 'Wales'}",38,Tottenham Hotspur
3087,Gnégnéri Yaya Touré,Yaya Touré,24,"{'id': 55, 'name': ""Côte d'Ivoire""}",217,Barcelona
3088,Lewis Dunk,,15,"{'id': 68, 'name': 'England'}",768,England
