team_id,team_name
444,CD Numancia de Soria
488,Seattle Sounders
489,Cincinnati
552,Cádiz
575,Toronto FC
608,Albacete
627,Tenerife
746,Manchester City WFC
749,Tottenham Hotspur Women
759,Washington Spirit
760,OL Reign
761,Chicago Red Stars
762,Houston Dash
763,NJ/NY Gotham FC
764,Orlando Pride
765,Portland Thorns
766,North Carolina Courage
767,Utah Royals
768,England
769,Colombia
770,Germany
771,France
772,Spain
773,Switzerland
774,Egypt
775,Nigeria
776,Denmark
777,Tunisia
778,Japan
779,Argentina
780,Portugal
781,Brazil
782,Belgium
783,Uruguay
784,Peru
785,Croatia
786,Serbia
787,Senegal
788,Morocco
789,Poland
790,Sweden
791,South Korea
792,Australia
793,Iceland
794,Mexico
795,Costa Rica
796,Russia
797,Iran
798,Panama
799,Saudi Arabia
806,Ajax
851,Netherlands Women's
852,Norway Women's
853,Denmark Women's
854,Belgium Women's
855,Italy Women's
857,Germany Women's
858,Sweden Women's
859,Austria Women's
860,Switzerland Women's
861,France Women's
862,Iceland Women's
863,Spain Women's
864,Portugal Women's
865,England Women's
866,Scotland W
868,Bochum
872,Darmstadt 98
901,Real Valladolid
902,Huesca
904,Bayer Leverkusen
905,Romania
906,Albania
907,Wales
908,Slovakia
909,Turkey
911,Ukraine
912,Czech Republic
914,Italy
915,Austria
916,Hungary
919,LAFC
920,WNT Finland
924,Duisburg WFC
929,VfL Wolfsburg WFC
937,Barcelona WFC
941,Netherlands
942,Scotland
944,Slovenia
952,Panathinaikos
965,Brighton & Hove Albion WFC
966,Liverpool WFC
967,Everton LFC
968,Arsenal WFC
969,Birmingham City WFC
970,Yeovil Town LFC
971,Chelsea FCW
972,West Ham United LFC
973,Bristol City WFC
974,Reading WFC
1036,Gimnàstic Tarragona
1041,Sporting Gijón
1042,Elche
1043,Mallorca
1049,Granada
1069,Bayern München W
1076,Juventus W
1086,Fiorentina W
1105,Atletico Madrid W
1106,Philippines Women's
1107,Thailand W
1203,Brazil Women's
1204,Argentina Women's
1205,Australia Women's
1206,Canada Women's
1207,China PR Women's
1208,Cameroon W
1209,Chile Women's
1210,Japan Women's
1211,Korea Republic Women's
1212,Jamaica Women's
1213,Nigeria Women's
1214,United States Women's
1215,New Zealand Women's
1216,South Africa Women's
1217,Racing Santander
1218,Hércules
1219,Xerez
1220,Recreativo Huelva
1230,Real Murcia CF
1324,River Plate
1328,Boca Juniors
1475,Manchester United W
1683,Carpi
1832,Costa Rica Women's
1833,Canada
1835,Finland
1839,United States
1938,Nashville SC
1975,Inter Miami
2021,Jamshedpur
2138,Georgia
2256,Palermo
2305,Jamaica
2355,Haiti Women's
2358,North Macedonia
2391,Morocco Women's
2456,Wales W
2457,Northern Ireland W
2647,Aston Villa W
2652,Leicester City WFC
2721,German DR
2722,Cameroon
2735,NY Cosmos
2736,Bastia
3144,FC Internazionale Milano W
3150,AC Milan W
3152,AS Roma W
3154,Sassuolo W
3155,Napoli W
3164,SGS Essen 19/68
3165,SC Freiburg
3166,TSV Bayer 04 Leverkusen
3168,SV Werder Bremen
3169,Hoffenheim W
3170,Eintracht Frankfurt W
3269,Costa Adeje Tenerife
3270,Athletic Club Bilbao
3272,Real Sociedad de Fútbol
3274,Levante UD Femenino
3275,SD Eibar
3277,Valencia CF
3278,Madrid CFF
3279,Real Betis Balompié
3280,CD Sporting de Huelva
3281,Sevilla FC
3282,Real Madrid CF W
3374,Côte d'Ivoire
3562,Chile
3563,Venezuela
3564,Bolivia
3565,Ecuador
3566,Qatar
3567,Paraguay
4881,Congo DR
4885,Ghana
4892,Guinea
4894,Guinea-Bissau
4898,Algeria
4901,Angola
4921,Burkina Faso
4924,Cape Verde Islands
4930,Mali
4932,Mauritania
4934,Gambia
4953,Tanzania
4963,Zambia
4976,South Africa
4978,Mozambique
4980,Namibia
4992,Equatorial Guinea
5105,Racing Louisville FC
5106,KC Current
6045,Zambia W
6602,Köln
6604,Villarreal
6755,Pomigliano
6757,Sampdoria W
7282,ATK Mohun Bagan
7283,Kerala Blasters
7284,Bengaluru
7285,NorthEast United
7286,East Bengal
7287,Mumbai City
7288,Goa
7289,Hyderabad
7290,Chennaiyin
7291,Odisha
8070,Charlotte
9100,Angel City
9101,San Diego Wave
9763,Argentina U20
11558,Como W
11864,FC Levante Badalona
16768,Republic of Ireland Women's
16769,Vietnam Women's
16802,Colombia Women's
16803,Panama Women's
17403,Soviet Union U20
17469,Czechoslovakia
18938,Granada W
19106,Nürnberg W
19107,RB Leipzig W
29167,Poland Women's
